100,James Bond,35,United Kingdom,Professional,3,4,2,3,4
101,Ferris Bueller,18,USA,Amature,1,1,1,1,1
102,Sun Wukong,850,China,World Class,4,5,5,5,5
103,Hanamichi Sakuragi,16,Japan,Semi-Pro,3,2,2,3,2
104,Natasha Romanov,36,Russia,Semi-Pro,3,3,2,4,3
105,Pepe Le Pew,22,France,Amature,1,1,1,1,1
106,Hans Gruber,42,Germany,Semi-Pro,2,4,3,2,2
107,Hannibal Lecter,38,Lithuania,Professional,4,4,4,4,4
108,Bilbo Baggins,45,Middle-Earth,Amature,2,2,2,2,1
109,Obi-Wan Kenobi,35,Stewjon,Professional,4,3,3,4,4
110,Kal El,26,Krypton,World Class,5,4,5,5,4
